"Electrodermal activity, mean ","Blood volume pulse, standard deviation","Electrodermal activity, 75th percentile ","Skin Temperature, median ","Electrodermal activity, maximum ","Skin temperature, mean ","Heart rate, maximum ","AU07 (lid tightener), mean","Wrist Acceleration in Y-axis, mean ","AU45, blink count","Gaze angle in Y-axis, mean ","AU06 (cheek raiser), mean","AU04 (brow lowerer), standard deviation","AU14 (dimpler), mean",Productivity,Mood,Stress_Numeric,Stress
0.02072049729,36.48215651,-3.405934041,-0.2516450886,-0.4841482086,-2.347921717,-21.30480733,-0.02639290533,9.9479,9,0.2508722512,0.05796807384,2.055319393,0.7797582604,31,-5,40,Boredom
0.01622284455,45.32142573,0.3496185299,-0.3695794614,-1.409799018,-2.39438481,-20.66722027,-0.03535049963,10.6115,2,0.2606491095,0.04304687006,2.173596333,0.7733617959,31,-5,40,Boredom
0.01662263591,32.66965601,-1.530323588,-0.4544481222,-5.421613235,-2.418901505,-3.712449433,-0.0279687784,12.2771,7,0.2676462728,0.2887960921,1.518167664,0.8268179639,31,-5,40,Boredom
0.01882148836,44.59739002,0.4925634375,-0.3012436566,-5.369087012,-2.451919958,-0.7599426641,-0.02431938813,12.1208,11,0.2585403754,0.1525024119,1.530158875,0.9061645837,31,-5,40,Boredom
0.02181992352,39.0803888,-1.097157201,-0.5569518294,-5.267998808,-2.458839993,4.481877143,-0.02531467639,12.5781,6,0.1918276951,0.2605559615,1.242369821,0.9736320551,31,-5,40,Boredom
0.02491830652,42.60252082,-3.405934041,-0.4886160246,-5.549460082,-2.495911609,-15.46734572,-0.03435521138,6.8875,2,0.169590135,0.1630173542,1.249455536,1.005385933,31,-5,40,Boredom
0.02122023649,37.65494351,-3.405934041,-0.467674407,-5.6198254,-2.545142716,-5.95179124,-0.03510167757,9.9208,6,0.1882811877,0.2540467115,1.079534632,1.005157488,31,-5,40,Boredom
0.02471841084,39.85344776,-3.405934041,-0.5646671622,-5.435488087,-2.581917759,-8.120619147,-0.02971053285,-22.026,12,0.1899106641,0.3038174382,1.08961815,1.012391584,31,-5,40,Boredom
0.03301408145,38.06975563,-2.972767655,-0.3321049878,-5.036090575,-2.563629095,-0.4207497891,-0.03062288042,-31.3219,13,0.1836803132,0.1622162157,1.231196193,0.8662628287,31,-5,40,Boredom
0.08548669676,32.74130538,0.3496185299,-0.2670757542,-5.606941609,-2.590913804,-17.14334072,-0.03443815207,-4.95,4,0.194415687,0.1261649851,1.228743445,0.8722785513,31,-5,40,Boredom
0.1129723524,52.72770761,0.05939705094,0.2575668762,2.514801846,-0.8753382651,0.8265245181,1.381027629,2.0698,4,0.3514205294,0.1965650271,1.098066503,1.267945573,64,15,18,Boredom
0.0930827325,8.799103908,-0.6639908146,0.127508409,4.408719081,-0.8845320259,-3.222291842,1.953733079,-2.3115,7,0.4408500275,0.09892627752,1.077763203,1.921831777,64,15,18,Boredom
0.0912836714,55.46546761,6.699837757,0.2575668762,1.300752336,-0.8975812348,3.674789195,1.655312484,-3.8896,4,0.3642646374,0.2878948114,0.5293015828,0.6728459243,64,15,18,Boredom
